repeticion,T0,T1_deteccion,T2_bloqueo,mttd_seg,mttr_seg
1,2026-08-09T01:38:02.000Z,2026-08-09T01:38:04.096504450Z,2026-08-09 01:38:12.065438,2,10
2,2026-08-09T01:39:42.000Z,2026-08-09T01:39:44.051636757Z,2026-08-09 01:40:12.068821,2,30
3,2026-08-09T01:41:44.000Z,2026-08-09T01:41:45.665807541Z,2026-08-09 01:42:12.263395,1,28
4,2026-08-09T01:43:43.000Z,2026-08-09T01:43:44.921834270Z,2026-08-09 01:44:12.04853,1,29
5,2026-08-09T01:45:42.000Z,2026-08-09T01:45:44.188636413Z,2026-08-09 01:46:12.116355,2,30
6,2026-08-09T01:47:44.000Z,2026-08-09T01:47:45.527528905Z,2026-08-09 01:48:12.116836,1,28
7,2026-08-09T01:49:43.000Z,2026-08-09T01:49:44.576099317Z,2026-08-09 01:50:12.0501,1,29
8,2026-08-09T01:51:44.000Z,2026-08-09T01:51:46.252813574Z,2026-08-09 01:52:12.071258,2,28
9,2026-08-09T01:53:44.000Z,2026-08-09T01:53:45.602370993Z,2026-08-09 01:54:12.0834,1,28
10,2026-08-09T01:55:42.000Z,2026-08-09T01:55:44.203346611Z,2026-08-09 01:56:12.039077,2,30
